t PE VE R R2
509 0.561838 0.470938 -0.410884 0.5341
510 0.50626 0.459741 -0.373365 0.504756
511 0.447369 0.450058 -0.321445 0.472596
512 0.390673 0.442643 -0.25776 0.442019
513 0.341095 0.43833 -0.185586 0.41714
514 0.302422 0.437523 -0.108528 0.4008
515 0.276953 0.439419 -0.0301859 0.393955
516 0.265373 0.442497 0.0461391 0.395609
517 0.266808 0.444778 0.11765 0.403241
518 0.27903 0.44431 0.182137 0.413486
519 0.298715 0.439422 0.237932 0.422825
520 0.321734 0.428918 0.28376 0.428073
521 0.343469 0.41264 0.318526 0.426643
522 0.359248 0.39074 0.341113 0.416646
523 0.364954 0.363793 0.350278 0.397037
524 0.357812 0.332993 0.344714 0.367944
525 0.337183 0.300621 0.323284 0.331164
526 0.305084 0.269559 0.28537 0.290617
527 0.266192 0.243919 0.231232 0.252389
528 0.227188 0.22884 0.162269 0.22411
529 0.195533 0.228481 0.0811369 0.213592
530 0.177941 0.245892 -0.0082908 0.226968
531 0.178915 0.281935 -0.101084 0.266777
532 0.199684 0.334796 -0.191493 0.330502
533 0.237804 0.399371 -0.273249 0.410071
534 0.287579 0.467162 -0.339936 0.492658
535 0.341304 0.526877 -0.385473 0.562975
536 0.391187 0.567879 -0.404705 0.606803
537 0.431531 0.582674 -0.394043 0.614997
538 0.460562 0.569519 -0.352078 0.586725
539 0.481199 0.532731 -0.280051 0.530584
540 0.500273 0.48216 -0.182033 0.462746
541 0.526215 0.429862 -0.0646857 0.402323
542 0.565996 0.386782 0.063479 0.365492
543 0.62254 0.360124 0.193166 0.360688
544 0.693599 0.351625 0.315395 0.386656
545 0.772307 0.35766 0.422321 0.43368
546 0.848915 0.371518 0.507657 0.486959
547 0.913003 0.385798 0.566807 0.530752
548 0.95562 0.391924 0.596879 0.552265
549 0.971028 0.386225 0.596746 0.544692
550 0.957761 0.368819 0.567174 0.50893
551 0.918749 0.344047 0.510976 0.453487
552 0.860359 0.319382 0.433062 0.392285
553 0.790493 0.303724 0.340248 0.340669
554 0.716257 0.304217 0.240774 0.310771
555 0.641938 0.322055 0.143559 0.307868
556 0.56802 0.354406 0.0572791 0.329167
557 0.49163 0.39504 -0.0105297 0.365439
558 0.408322 0.436288 -0.0542198 0.404735
559 0.314537 0.470896 -0.0704833 0.43662
560 0.20975 0.493825 -0.0584795 0.455425
561 0.0973254 0.503503 -0.0197058 0.461611
562 -0.0162353 0.502101 0.0422616 0.461112
563 -0.123223 0.494846 0.12208 0.462933
564 -0.21697 0.488252 0.21302 0.475715
565 -0.293621 0.487472 0.307469 0.50433
566 -0.35293 0.494879 0.397542 0.547726
567 -0.397942 0.509199 0.475739 0.598849
568 -0.433722 0.52557 0.535535 0.64666
569 -0.465584 0.539906 0.571849 0.679514
570 -0.497362 0.545955 0.581349 0.688756
571 -0.5302 0.542522 0.562606 0.67143
572 -0.562163 0.531754 0.516126 0.631368
573 -0.588741 0.519155 0.444253 0.578397
574 -0.604074 0.511037 0.350972 0.525952
575 -0.602529 0.513981 0.241608 0.48773
576 -0.580138 0.532558 0.122424 0.47429
577 -0.535539 0.566287 0.000183029 0.490439
578 -0.470291 0.6114 -0.118313 0.534021
579 -0.38874 0.660803 -0.226633 0.596306
580 -0.297551 0.705066 -0.31905 0.663806
581 -0.204917 0.734287 -0.390823 0.721085
582 -0.119318 0.740613 -0.438429 0.754022
583 -0.0479946 0.719156 -0.459777 0.752925
584 0.00452336 0.669837 -0.454367 0.71479
585 0.0373482 0.598243 -0.423358 0.644116
586 0.0533362 0.514039 -0.369465 0.551929
587 0.0583158 0.429922 -0.296688 0.453251
588 0.0596858 0.356677 -0.209893 0.363781
589 0.0647863 0.30329 -0.114368 0.296742
590 0.0794517 0.275344 -0.0154294 0.260671
591 0.107024 0.274002 0.0818563 0.2584
592 0.147944 0.296705 0.172837 0.287147
593 0.199897 0.337717 0.253376 0.339449
594 0.258424 0.389413 0.319913 0.404665
595 0.317851 0.44375 0.369536 0.470835
596 0.372362 0.492346 0.400043 0.526651
597 0.417059 0.528042 0.41003 0.563295
598 0.448815 0.546752 0.39899 0.575849
599 0.466778 0.547328 0.367411 0.564043
600 0.472419 0.531195 0.316876 0.532109
601 0.46907 0.50244 0.250093 0.487712
602 0.461054 0.466893 0.170849 0.440105
603 0.452612 0.431001 0.0838134 0.397909
604 0.446901 0.399488 -0.0057788 0.367117
605 0.445368 0.374825 -0.0925525 0.349881
606 0.447652 0.357017 -0.171455 0.344432
607 0.452014 0.344125 -0.238176 0.346085
608 0.456116 0.333323 -0.289465 0.348932
609 0.457874 0.321685 -0.323284 0.347649
610 0.456133 0.307138 -0.338822 0.33889
611 0.451003 0.289865 -0.33638 0.321971
612 0.44384 0.271975 -0.317214 0.29883
613 0.436968 0.256562 -0.283376 0.273418
