r r 
0.00606799 -0.142478 
-0.675967 -0.646942 
-0.414057 -0.177785 
0.478811 0.415321 
0.483398 0.0416331 
-0.183733 -0.195124 
-0.21985 -0.229746 
0.0559153 0.194101 
0.335114 0.297102 
-0.0017702 -0.149837 
-0.669398 -0.640466 
-0.411719 -0.17621 
0.47362 0.410335 
0.480044 0.0397044 
-0.190874 -0.202228 
-0.222777 -0.232641 
0.0500216 0.187761 
0.326981 0.289092 
-0.00796061 -0.155549 
-0.662488 -0.63365 
-0.410305 -0.175556 
0.469163 0.406082 
0.479825 0.0409064 
-0.19969 -0.211007 
-0.226826 -0.236659 
0.0486603 0.185955 
0.319524 0.281757 
-0.0131063 -0.160218 
-0.653208 -0.624463 
-0.406776 -0.172785 
0.464332 0.401454 
0.475967 0.0384647 
-0.20472 -0.216001 
-0.2324 -0.242201 
0.0492802 0.186132 
0.310716 0.273071 
-0.0218822 -0.168519 
-0.644633 -0.615981 
-0.406621 -0.173385 
0.461835 0.39916 
0.470726 0.0346353 
-0.209091 -0.220336 
-0.234031 -0.2438 
0.0518579 0.188268 
0.298066 0.260542 
-0.0310056 -0.177169 
-0.636509 -0.60795 
-0.405273 -0.172789 
0.458231 0.395759 
0.463884 0.0292015 
-0.213061 -0.224269 
-0.236767 -0.246505 
0.0529376 0.188907 
0.287017 0.249614 
-0.040916 -0.186608 
-0.629848 -0.60138 
-0.406833 -0.175099 
0.454048 0.391777 
0.453383 0.0201026 
-0.215643 -0.226816 
-0.240028 -0.249734 
