n t PE VE R R2 BS
3500 1846 4.41987 0.885274 0.345085 0.425173 0.347963
3510 2455 4.43333 0.813152 0.298622 0.361252 0.340607
3520 1834 4.16544 0.737816 0.249283 0.297576 0.323924
3530 2468 3.68899 0.660977 0.189438 0.235594 0.30693
3540 1826 3.19454 0.614881 0.128383 0.195436 0.30956
3550 2466 2.54752 0.593029 0.0629011 0.173396 0.311458
3560 1844 2.02531 0.569291 0.0015398 0.155999 0.306272
3570 1833 1.59705 0.57506 -0.0486395 0.160789 0.312625
3580 2466 1.15477 0.62134 -0.0938771 0.190999 0.334403
3590 1835 0.808378 0.684725 -0.119727 0.235172 0.356795
3600 2465 0.792816 0.746098 -0.136151 0.2759 0.38142
3610 1844 0.828642 0.796392 -0.154713 0.303676 0.412411
3620 2465 0.685761 0.851384 -0.174047 0.330479 0.443706
3630 2073 0.515101 0.91005 -0.178445 0.352302 0.472896
3640 2231 0.136098 1.05603 -0.191033 0.417154 0.527684
3650 1845 -0.324449 1.24112 -0.214224 0.497244 0.577059
3660 2457 -0.964461 1.49009 -0.249959 0.601092 0.621339
3670 1838 -1.64613 1.72464 -0.306323 0.705748 0.648842
3680 2459 -2.17279 1.86051 -0.373072 0.785581 0.656054
3690 1827 -2.0703 1.81496 -0.421029 0.797806 0.627054
3700 2486 -1.47384 1.6397 -0.464304 0.760225 0.57036
3710 1851 -0.571721 1.45106 -0.514978 0.724708 0.49323
3720 1821 0.0204434 1.26268 -0.554267 0.676333 0.396827
3730 2446 0.238494 1.11907 -0.580959 0.632673 0.315231
3740 1820 0.111433 1.0583 -0.589062 0.62068 0.283201
3750 2449 -0.337906 1.07697 -0.586139 0.645141 0.286496
3760 1814 -0.64788 1.11327 -0.57334 0.665012 0.296908
3770 2447 -0.911896 1.14411 -0.552957 0.677253 0.314327
3780 1817 -0.999939 1.12397 -0.511 0.658011 0.319354
3790 2446 -0.891651 1.08533 -0.467977 0.627699 0.319916
3800 1817 -0.684133 1.005 -0.409595 0.559906 0.322917
3810 2471 -0.108744 0.900322 -0.341771 0.472188 0.326911
3820 1819 0.604233 0.798064 -0.282175 0.386901 0.31756
3830 1828 1.49128 0.698649 -0.221719 0.299543 0.29852
3840 2452 2.55246 0.600465 -0.18591 0.214321 0.264083
3850 1819 3.37153 0.529929 -0.167384 0.153926 0.229767
3860 2446 3.92606 0.474885 -0.149486 0.109138 0.200797
3870 1816 4.2933 0.43287 -0.124643 0.0768953 0.188464
3880 1820 4.61866 0.420336 -0.12401 0.0692718 0.190783
3890 2446 4.78233 0.438853 -0.135753 0.0844576 0.200734
3900 1816 4.87082 0.484483 -0.1469 0.117359 0.225683
3910 1817 4.83436 0.543643 -0.166483 0.160973 0.256503
3920 2446 4.60654 0.600749 -0.183698 0.202852 0.283109
3930 2448 4.20184 0.643072 -0.199823 0.235119 0.302191
3940 1817 3.82708 0.679051 -0.221557 0.266694 0.318141
3950 1819 3.37745 0.740894 -0.24521 0.311534 0.363309
3960 2444 3.05797 0.8208 -0.272578 0.360736 0.405328
3970 1819 2.99438 0.902874 -0.287751 0.408568 0.437705
3980 2445 2.91929 0.948522 -0.298491 0.434054 0.452211
3990 1815 2.60381 0.990448 -0.32201 0.46051 0.461786
4000 2454 2.41026 1.02483 -0.332277 0.477136 0.466301
4010 1817 2.33834 1.0719 -0.346989 0.496664 0.471623
4020 1818 2.42487 1.09786 -0.353467 0.503651 0.476775
4030 2330 2.48041 1.11705 -0.367315 0.51225 0.477244
