t PE VE R R2
484 0.441339 0.417639 -0.0608172 0.371758
485 0.445566 0.438227 -0.0669227 0.391689
486 0.452067 0.455846 -0.0649251 0.409319
487 0.460896 0.469797 -0.0547449 0.423815
488 0.472226 0.479785 -0.0367022 0.434923
489 0.486282 0.485951 -0.0115041 0.442928
490 0.503237 0.488791 0.019787 0.448523
491 0.523107 0.488945 0.0558036 0.452591
492 0.54566 0.487037 0.0949407 0.455966
493 0.570349 0.483553 0.135433 0.459201
494 0.596302 0.478735 0.17544 0.46242
495 0.622369 0.472575 0.213123 0.465254
496 0.647213 0.464775 0.246719 0.46688
497 0.669432 0.455009 0.274602 0.466164
498 0.687704 0.4426 0.295332 0.461863
499 0.700925 0.427408 0.307701 0.45287
500 0.708322 0.409287 0.310763 0.438472
501 0.709537 0.388435 0.303873 0.418571
502 0.704679 0.365908 0.286717 0.393851
503 0.694319 0.342915 0.259348 0.36584
504 0.679438 0.32092 0.22221 0.336847
505 0.661329 0.301547 0.176162 0.309755
506 0.641446 0.286348 0.122473 0.287668
507 0.621223 0.276979 0.0628045 0.273462
508 0.601891 0.274754 -0.000844504 0.269302
509 0.584318 0.280291 -0.0662199 0.276214
510 0.568901 0.293268 -0.130921 0.293822
511 0.555542 0.312412 -0.192525 0.32031
512 0.543695 0.335778 -0.24872 0.352626
513 0.532493 0.360773 -0.297428 0.386918
514 0.520916 0.384547 -0.336906 0.419102
515 0.507964 0.404825 -0.365823 0.44547
516 0.492813 0.41908 -0.3833 0.463233
517 0.474928 0.426372 -0.38893 0.47091
518 0.454117 0.427009 -0.382765 0.46852
519 0.430565 0.422067 -0.365305 0.457546
520 0.404835 0.413402 -0.33747 0.440693
521 0.377851 0.403334 -0.300581 0.421448
522 0.350853 0.394919 -0.25633 0.403513
523 0.325294 0.391424 -0.206738 0.39019
524 0.302676 0.394263 -0.154104 0.383823
525 0.28432 0.40407 -0.100924 0.385421
526 0.271137 0.420161 -0.0497959 0.394524
527 0.263462 0.440722 -0.00330428 0.409361
528 0.261006 0.463236 0.0361025 0.42725
529 0.262958 0.485047 0.0662419 0.44518
530 0.268209 0.503921 0.085321 0.460464
531 0.275626 0.518543 0.0920495 0.47134
532 0.284323 0.528807 0.0857358 0.477409
533 0.293836 0.535942 0.0663607 0.479805
534 0.304164 0.542292 0.0346222 0.481035
535 0.315664 0.550664 -0.00805763 0.484485
536 0.328803 0.563834 -0.0595747 0.493672
537 0.343849 0.583761 -0.117241 0.51136
538 0.360563 0.61084 -0.177941 0.538762
539 0.378 0.643823 -0.238334 0.575034
540 0.394479 0.679097 -0.29508 0.617196
541 0.407741 0.712541 -0.345065 0.660543
542 0.415273 0.739784 -0.385588 0.699439
543 0.414717 0.75609 -0.4145 0.728313
544 0.404275 0.758521 -0.430286 0.742638
545 0.383045 0.746209 -0.432102 0.739712
546 0.351224 0.719105 -0.419776 0.719102
547 0.310158 0.679803 -0.393794 0.682734
548 0.262232 0.632439 -0.355272 0.6346
549 0.210617 0.581991 -0.305924 0.580154
550 0.158892 0.533533 -0.248002 0.525479
551 0.11061 0.491483 -0.184225 0.476334
552 0.0688564 0.45901 -0.11766 0.437257
553 0.0358934 0.437676 -0.0515822 0.410877
554 0.0129425 0.427288 0.010695 0.39758
555 0.000165663 0.426106 0.0659999 0.395609
556 -0.00316573 0.431223 0.111474 0.401575
557 0.00165005 0.43947 0.144726 0.411262
558 0.0131395 0.447815 0.163946 0.420555
559 0.030034 0.453932 0.167997 0.426296
560 0.0515528 0.456354 0.156457 0.42689
561 0.077534 0.454815 0.129627 0.422567
562 0.108389 0.450229 0.0885145 0.41525
563 0.144896 0.444005 0.0347736 0.408077
564 0.187884 0.437836 -0.0293748 0.404686
565 0.237865 0.433329 -0.101253 0.408395
566 0.29471 0.43178 -0.177858 0.421465
567 0.357422 0.433592 -0.256003 0.444563
568 0.424068 0.438557 -0.332476 0.476554
569 0.491876 0.446017 -0.404186 0.514639
570 0.55749 0.454786 -0.468307 0.554819
571 0.617326 0.463307 -0.5224 0.59257
572 0.667984 0.4702 -0.564506 0.623601
573 0.706632 0.474365 -0.593217 0.64455
574 0.73132 0.475693 -0.607705 0.653483
575 0.741179 0.47356 -0.607726 0.650126
576 0.736485 0.468734 -0.593592 0.635822
577 0.718582 0.464878 -0.566114 0.613228
578 0.689689 0.463153 -0.526533 0.585857
579 0.652618 0.465109 -0.476431 0.557536
580 0.610434 0.472306 -0.417651 0.531898
581 0.566131 0.483861 -0.352229 0.511952
582 0.522339 0.500242 -0.282338 0.499778
583 0.481112 0.521788 -0.210265 0.496328
584 0.443796 0.546177 -0.138391 0.501343
585 0.410981 0.571401 -0.0691672 0.513359
586 0.38254 0.595163 -0.00508144 0.529841
587 0.357754 0.61494 0.0514228 0.547454
588 0.335522 0.62839 0.0980598 0.562506
589 0.314651 0.633651 0.132848 0.571531
590 0.294175 0.629752 0.154268 0.571932
591 0.273651 0.616787 0.1614 0.562545
592 0.253356 0.59591 0.154019 0.54398
593 0.234332 0.56943 0.132638 0.518614
594 0.218251 0.54028 0.0984713 0.490236
595 0.207144 0.511697 0.0533485 0.463384
596 0.203044 0.486942 -0.000417386 0.442555
597 0.207627 0.46881 -0.0601836 0.43143
598 0.221917 0.45942 -0.123127 0.432279
599 0.246102 0.459851 -0.186369 0.445617
600 0.279464 0.470065 -0.247069 0.470134
601 0.32041 0.489149 -0.30248 0.502848
602 0.366588 0.514591 -0.34998 0.539448
603 0.415084 0.54333 -0.387089 0.574762
604 0.462706 0.570894 -0.411502 0.603344
605 0.506365 0.593222 -0.421153 0.620169
606 0.54355 0.605634 -0.414321 0.621418
607 0.572836 0.604925 -0.389791 0.605294
608 0.594307 0.589734 -0.347026 0.572709
609 0.609752 0.5611 -0.286344 0.527608
